AllyCode,Name,UnitId,BaseId,CombatType,Alignment,Stars,Level,GearLevel,Power,ZetaCount,ZetaLead,OmiCount,Ultimate,RelicLevel,Speed10,Speed15,Speed20,Speed25,ModCount,ModSixCount,PlusSpeed,PrimaryArrow,PrimaryCircle,PrimaryCross,PrimaryTriangle,Sets,Slot0,Slot1,Slot2,Slot3,Slot4,Slot5,Health,Protection,Speed,CritDamage,Potency,Tenacity,HealthSteal,DefensePen,Damage,CritChance,ArmorPen,Accuracy,Armor,DodgeChance,CritAvoidance,SpecialDamage,SpecialCritChance,ResistancePen,SpecialAccuracy,Resistance,DeflectionChance,SpecialCritAvoidance
138974936,"Quigman","null","MAGMATROOPER","Character","Dark",7,1,1,4656,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,"",False,False,False,False,False,False,620,0,100,150,0,15,0,0,51,10.3333333333333,0,0,34.7826086956522,2,0,43,10,0,0,11.7647058823529,2,0
138974936,"Quigman","null","HERMITYODA","Character","Light",7,85,13,28912,2,0,0,False,5,5,1,1,0,6,6,117,5,56,48,56,"57+55",False,False,False,False,False,False,68112,78268,297,150,47.788,60,5,0,4710,46.1026666666667,10,7.5,57.3721163490471,2,7.5,7321,20.2276666666667,35,7.5,53.7540805223069,2,0
138974936,"Quigman","null","GREEFKARGA","Character","Light",7,85,1,6639,0,0,0,False,0,0,0,0,0,6,0,10,54,55,55,55,"57+55",False,False,False,False,False,False,13500,644,110,150,3.594,16.8,0,0,928,22.8723333333333,0,0,16.2836506894288,2,3,1153,15.039,0,0,6.8663257852447,2,0
138974936,"Quigman","null","ZEBS3","Character","Light",7,85,10,14625,0,0,0,False,0,1,1,0,0,6,0,48,5,56,18,49,"49+53+55",False,False,False,False,False,True,22539,24454,163,150,38.956,56.359,10,0,2304,45.8103333333333,30,0,36.2818590704648,2,0,1413,23.352,0,0,14.6014735432016,2,0
138974936,"Quigman","null","BARRISSOFFEE","Character","Light",7,85,8,12133,0,0,0,False,0,0,0,0,0,6,0,2,54,55,55,55,"48",False,False,False,False,False,False,22022,9574,116,150,13.198,25.085,0,0,1658,24.7736666666667,6,0,25.9151656013945,2,15,1940,14.1903333333333,5,0,12.3711340206186,2,0
138974936,"Quigman","null","CT210408","Character","Light",7,85,13,24690,1,0,0,False,4,4,0,0,0,6,2,81,55,55,18,55,"57+55",False,False,False,False,False,False,63206,46622,230,150,26,74.736,25,0,4748,46.972,174,6,38.136826783115,2,6,7111,32.0553333333333,187,6,32.8593996840442,2,0
138974936,"Quigman","null","B1BATTLEDROIDV2","Character","Dark",7,85,13,24600,1,0,0,False,4,2,1,0,0,6,0,34,48,55,48,55,"48+17",False,False,False,False,False,False,35759,40845,199,156,87,37.781,5,0,7918,71.4316666666667,517,0,37.8352023403218,2,0,4361,28.64,5,0,18.8415022278803,2,0
138974936,"Quigman","null","COLONELSTARCK","Character","Dark",7,85,7,13719,1,0,0,False,0,0,0,0,0,6,0,5,48,56,49,49,"53+53",False,False,False,False,False,False,11659,4848,142,150,9,22.562,15,0,1319,36.5833333333333,11,0,19.9623352165725,2,0,1401,19.25,0,0,10.6517168885774,2,0
138974936,"Quigman","null","BB8","Character","Light",7,85,12,22642,2,0,0,False,0,0,0,0,0,6,0,0,48,55,56,56,"55+55+17",False,False,False,False,False,False,29119,48489,162,150,52,34.114,0,0,2721,31.8263333333333,37,0,30.5177111716621,2,0,4058,22.2846666666667,17,0,30.5933587370713,2,0
138974936,"Quigman","null","POGGLETHELESSER","Character","Dark",7,85,12,17652,0,0,0,False,0,1,0,0,0,6,0,65,5,56,55,16,"57+55",False,False,False,False,False,False,23652,32617,209,186,44,32.162,0,0,2553,22.875,15,0,26.5975820379966,2,0,4980,16.0416666666667,54,0,26.1725535610886,2,0
138974936,"Quigman","null","FIRSTORDERSPECIALFORCESPILOT","Character","Dark",7,85,13,20310,0,0,0,False,3,0,0,0,0,6,0,0,49,56,17,16,"53+16",False,False,False,False,False,False,43491,52373,150,216,73.293,48.16,35,0,4475,66.0853333333333,121,4.5,44.2988204456094,2,0,5691,41.6686666666667,170,4.5,32.0724560468833,2,0
138974936,"Quigman","null","GENERALKENOBI","Character","Light",7,85,13,24457,1,0,0,False,3,1,1,0,0,6,6,33,49,56,17,56,"18+49+55",False,False,False,False,False,False,55355,87008,180,150,36.295,83.334,12.25,0,4260,37.9953333333333,89,0,65.4939106901218,2,0,3276,13.412,0,0,60.0689007203257,2,0
138974936,"Quigman","null","JAWASCAVENGER","Character","Light",7,85,11,15975,0,0,0,False,0,0,0,0,0,6,0,23,54,56,55,56,"57+17",False,False,False,False,False,False,15638,36712,142,150,48.18,29.825,20,0,2619,30.1703333333333,25,0,28.2498593134496,2,24,3085,14.087,10,0,28.0067758328628,2,0
138974936,"Quigman","null","L3_37","Character","Light",7,85,9,14151,0,0,0,False,0,0,0,0,0,6,0,9,48,55,17,53,"18+55+49",False,False,False,False,False,False,22636,19152,106,150,59.83,42.151,0,0,2345,45.3026666666667,34,0,34.0403517847905,2,0,1535,28.511,0,0,19.2526915769474,2,0
138974936,"Quigman","null","DROIDEKA","Character","Dark",7,85,13,24600,1,0,0,False,4,2,1,0,0,6,0,43,48,56,55,16,"49+48",False,False,False,False,False,False,52057,66994,146,186,48.453,51.892,25,4000,7323,69.0476666666666,308,6,49.4248314161047,2,0,4529,14.9226666666667,40,6,28.3305227655987,2,0
138974936,"Quigman","null","EWOKSCOUT","Character","Light",7,85,7,10099,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,"",False,False,False,False,False,False,10941,3055,128,150,0,23,5,0,1581,28.125,6,0,20.758234928527,2,0,1164,10.8333333333333,0,0,7.27272727272727,2,0
138974936,"Quigman","null","K2SO","Character","Light",7,85,8,13287,0,0,0,False,0,0,0,0,0,6,0,26,5,56,48,48,"55+55+17",False,False,False,False,False,False,23063,12568,149,150,49.437,28.927,5,0,2138,24.8976666666667,20,0,28.2498593134496,2,0,1937,13.5226666666667,0,0,15.9525379037574,2,0
138974936,"Quigman","null","NIGHTSISTERACOLYTE","Character","Dark",7,1,1,4656,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,"",False,False,False,False,False,False,568,0,85,150,0,15,0,0,48,10.2916666666667,0,0,34.7826086956522,2,0,64,10,0,0,21.0526315789474,2,0
138974936,"Quigman","null","SITHTROOPER","Character","Dark",7,85,8,11953,0,0,0,False,0,0,0,0,0,6,0,4,55,56,56,56,"49+49+49",False,False,False,False,False,False,19931,11959,99,150,33.528,23.787,5,0,1777,25.184,20,0,40,2,0,1552,13.059,0,0,24.0619416319238,2,0
138974936,"Quigman","null","BADBATCHHUNTER","Character","Light",7,85,13,21796,1,1,0,False,1,2,1,1,0,6,0,64,5,55,48,53,"16+53",False,False,False,False,False,False,51621,53987,202,180,37.084,44.895,45,1000,4134,80.0263333333333,334,1.5,45.6289978678038,2,0,3814,38.318,37,1.5,31.5619967793881,2,0
138974936,"Quigman","null","IG86SENTINELDROID","Character","Dark",7,85,8,12093,0,0,0,False,0,0,0,0,0,6,0,10,52,56,48,48,"55+16",False,True,True,True,False,False,13927,9366,126,180,19.493,23.38,0,0,1884,33.932,32,0,22.5865209471767,2,0,1517,12.5153333333333,0,0,10.27445460943,2,0
138974936,"Quigman","null","SITHMARAUDER","Character","Dark",7,85,10,14617,0,0,0,False,0,0,0,0,0,6,0,41,5,56,48,53,"53+16",False,False,False,False,False,False,19856,32336,177,180,18.416,39.056,15,0,2463,52.2456666666667,7,0,28.4913067863152,2,0,2081,32.4956666666667,0,0,12.008281573499,2,0
138974936,"Quigman","null","REYJEDITRAINING","Character","Light",7,85,13,26914,2,0,0,False,3,0,0,0,0,6,0,25,48,56,17,56,"57+55",False,False,False,False,False,False,52075,69834,185,150,68.191,42.928,25,0,4605,67.1556666666667,164,0,51.539338654504,7.25,0,3474,13.9473333333333,0,0,22.4924012158055,7.25,0
138974936,"Quigman","null","C3POCHEWBACCA","Character","Light",5,85,1,3495,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,"",False,False,False,False,False,False,10055,0,105,150,0,15,0,0,788,16,0,0,13.7931034482759,2,0,732,10,0,0,4.49438202247191,2,0
138974936,"Quigman","null","KYLOREN","Character","Dark",7,85,13,29077,1,0,0,False,7,0,0,0,0,6,0,44,5,56,56,53,"48+18",False,False,False,False,False,False,55104,66787,192,150,67.639,82.88,20,9000,7649,82.877,278,13.5,50.2147598594299,2,0,6982,31.1686666666667,90,13.5,41.5405777166437,2,0
138974936,"Quigman","null","DENGAR","Character","Dark",7,85,2,6693,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,"",False,False,False,False,False,False,12876,0,100,150,1,15,0,0,1013,17.8333333333333,0,0,17.2615184944841,2,0,945,10,0,0,5.7649667405765,2,0
138974936,"Quigman","null","KIADIMUNDI","Character","Light",4,1,1,1014,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,"",False,False,False,False,False,False,758,0,110,150,0,15,0,0,55,10.3333333333333,0,0,40,2,0,28,10,0,0,11.7647058823529,2,0
